target_position,decision_row,target_row,previous_price,target_price,raw_signal,weight,turnover,price_return,gross_score,fee_cost,slippage_cost,net_score,buy_hold_score,cash_score
78,2026-03-19 00:00:00+00:00,2026-03-20 00:00:00+00:00,111.8,112.2,0.5916532413442148,0.5916532413442148,0.0260532387568565,0.003577817531305927,0.0021168273393353085,2.60532387568565e-05,1.302661937842825e-05,0.002077747481200024,0.003577817531305927,0.0
79,2026-03-20 00:00:00+00:00,2026-03-21 00:00:00+00:00,112.2,112.6,0.5722873296934533,0.5722873296934533,0.019365911650761514,0.0035650623885916666,0.002040240034557689,1.9365911650761512e-05,9.682955825380756e-06,0.0020111911670815472,0.0035650623885916666,0.0
80,2026-03-21 00:00:00+00:00,2026-03-22 00:00:00+00:00,112.6,113.0,0.6496241126023304,0.6496241126023304,0.07733678290887713,0.00355239786856143,0.002307723312974629,7.733678290887714e-05,3.866839145443857e-05,0.0021917181386113135,0.00355239786856143,0.0
81,2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,113.0,111.15,0.5125018473975931,0.5125018473975931,0.13712226520473736,-0.01637168141592915,-0.008390516970668532,0.00013712226520473737,6.856113260236868e-05,-0.008596200368475637,-0.01637168141592915,0.0
82,2026-03-23 00:00:00+00:00,2026-03-24 00:00:00+00:00,111.15,111.55,0.7027624660346207,0.7027624660346207,0.1902606186370276,0.003598740440845738,0.0025290597068272688,0.0001902606186370276,9.51303093185138e-05,0.0022436687788717274,0.003598740440845738,0.0
83,2026-03-24 00:00:00+00:00,2026-03-25 00:00:00+00:00,111.55,111.95,0.6210300135212122,0.6210300135212122,0.08173245251340844,0.0035858359480054336,0.0022269117472746634,8.173245251340844e-05,4.086622625670422e-05,0.0021043130685045506,0.0035858359480054336,0.0
84,2026-03-25 00:00:00+00:00,2026-03-26 00:00:00+00:00,111.95,112.35,0.5991025091770462,0.5991025091770462,0.021927504344166016,0.00357302367128165,0.002140607446813818,2.1927504344166014e-05,1.0963752172083007e-05,0.002107716190297569,0.00357302367128165,0.0
85,2026-03-26 00:00:00+00:00,2026-03-27 00:00:00+00:00,112.35,112.75,0.5797095810914237,0.5797095810914237,0.01939292808562254,0.003560302625723155,0.002063941543716666,1.939292808562254e-05,9.69646404281127e-06,0.002034852151588232,0.003560302625723155,0.0
86,2026-03-27 00:00:00+00:00,2026-03-28 00:00:00+00:00,112.75,113.15,0.4841988349006497,0.4841988349006497,0.09551074619077399,0.0035476718403548713,0.0017177785717096723,9.551074619077399e-05,4.7755373095386995e-05,0.0015745124524235113,0.0035476718403548713,0.0
87,2026-03-28 00:00:00+00:00,2026-03-29 00:00:00+00:00,113.15,113.55,0.6581452847739208,0.6581452847739208,0.17394644987327107,0.0035351303579318483,0.0023266293761339887,0.00017394644987327106,8.697322493663553e-05,0.0020657097013240824,0.0035351303579318483,0.0
88,2026-03-29 00:00:00+00:00,2026-03-30 00:00:00+00:00,113.55,113.95,0.638778885746945,0.638778885746945,0.01936639902697579,0.003522677234698346,0.0022502118388267388,1.936639902697579e-05,9.683199513487894e-06,0.002221162240286275,0.003522677234698346,0.0
89,2026-03-30 00:00:00+00:00,2026-03-31 00:00:00+00:00,113.95,114.35,0.582781378290811,0.582781378290811,0.055997507456133966,0.003510311540149136,0.002045744197598253,5.5997507456133964e-05,2.7998753728066982e-05,0.001961747936414052,0.003510311540149136,0.0
90,2026-03-31 00:00:00+00:00,2026-04-01 00:00:00+00:00,114.35,112.5,0.5789817550388464,0.5789817550388464,0.00379962325196459,-0.01617839965019674,-0.009366998223190768,3.79962325196459e-06,1.899811625982295e-06,-0.009372697658068715,-0.01617839965019674,0.0
91,2026-04-01 00:00:00+00:00,2026-04-02 00:00:00+00:00,112.5,112.9,0.6359127532496974,0.6359127532496974,0.056930998210851014,0.003555555555555534,0.0022610231226655774,5.693099821085101e-05,2.8465499105425506e-05,0.002175626625349301,0.003555555555555534,0.0
92,2026-04-02 00:00:00+00:00,2026-04-03 00:00:00+00:00,112.9,113.3,0.6208497239648475,0.6208497239648475,0.015063029284849927,0.003542958370239102,0.0021996447261818926,1.5063029284849927e-05,7.531514642424963e-06,0.002177050182254618,0.003542958370239102,0.0
93,2026-04-03 00:00:00+00:00,2026-04-04 00:00:00+00:00,113.3,113.7,0.598925348838702,0.598925348838702,0.021924375126145534,0.003530450132391838,0.002114476077100423,2.1924375126145535e-05,1.0962187563072767e-05,0.0020815895144112046,0.003530450132391838,0.0
94,2026-04-04 00:00:00+00:00,2026-04-05 00:00:00+00:00,113.7,114.1,0.5128702707343437,0.5128702707343437,0.0860550781043583,0.0035180299032540052,0.0018042929489333985,8.605507810435831e-05,4.3027539052179155e-05,0.001675210331776861,0.0035180299032540052,0.0
95,2026-04-05 00:00:00+00:00,2026-04-06 00:00:00+00:00,114.1,114.5,0.5506955154504425,0.5506955154504425,0.03782524471609883,0.0035056967572304476,0.001930571482735966,3.782524471609883e-05,1.8912622358049415e-05,0.0018738336156618178,0.0035056967572304476,0.0
